
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:38:58 2026
Timers Off: Mon Aug 10 18:38:59 2026

Wall Time:        1.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.183u      0.000s      0.042w      1 calls
build grid                          :      0.150u      0.000s      0.022w      1 calls
post-process grid                   :      0.033u      0.000s      0.019w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w     10 calls
DFH: initialize()                   :      0.250u      0.033s      0.059w      1 calls
DFH: AO Construction                :      0.083u      0.000s      0.006w      1 calls
DFH: AO-Met. Contraction            :      0.067u      0.000s      0.007w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.033u      0.050s      0.027w      1 calls
SAD Guess                           :      0.033u      0.050s      0.026w      1 calls
HF: Form G                          :      4.850u      0.033s      0.375w      9 calls
RV: Form V                          :      4.583u      0.017s      0.347w      9 calls
Properties                          :      0.900p                          14922 calls
Functional                          :      0.492p                          14922 calls
V_xc                                :      1.368p                          14922 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.250u      0.017s      0.024w      9 calls
DFH: compute_JK()                   :      0.250u      0.017s      0.024w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.050u      0.000s      0.004w      9 calls
DFH: compute_K                      :      0.200u      0.000s      0.015w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.267u      0.050s      0.196w      8 calls
HF: Form C                          :      0.017u      0.000s      0.003w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.183u      0.000s      0.042w      1 calls
| build grid                        :      0.150u      0.000s      0.022w      1 calls
| post-process grid                 :      0.033u      0.000s      0.019w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.003w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      1 calls
DFH: initialize()                   :      0.250u      0.033s      0.059w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      9 calls
| DFH: AO Construction              :      0.083u      0.000s      0.006w      1 calls
| DFH: AO-Met. Contraction          :      0.067u      0.000s      0.007w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.033u      0.050s      0.027w      1 calls
| SAD Guess                         :      0.033u      0.050s      0.026w      1 calls
HF: Form G                          :      4.850u      0.033s      0.375w      9 calls
| RV: Form V                        :      4.583u      0.017s      0.347w      9 calls
| | Properties                      :      0.900p                          14922 calls
| | Functional                      :      0.492p                          14922 calls
| | V_xc                            :      1.368p                          14922 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.250u      0.017s      0.024w      9 calls
| | DFH: compute_JK()               :      0.250u      0.017s      0.024w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.004w      9 calls
| | | DFH: compute_K                :      0.200u      0.000s      0.015w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.267u      0.050s      0.196w      8 calls
HF: Form C                          :      0.017u      0.000s      0.003w      8 calls

**************************************************************************************
